u_precision,u_recall,u_rmse,n_t,n_p,model,structure,level
0.898876404494382,1.0,0.4500351603704096,79,89,nafnet,nbs2_Anti-Metal.png,12
0.9743589743589743,1.0,0.4442616583193193,79,78,nafnet,nbs2_Anti-Metal.png,16
0.9240506329113924,1.0,0.5307448924342753,72,79,nafnet,nbs2_Anti-Metal.png,20
0.96,1.0,0.356034497458156,73,75,nafnet,nbs2_Anti-Metal.png,28
0.45454545454545453,1.0,0.4472135954999579,6,11,nafnet,nbs2_Anti-Metal.png,36
1.0,1.0,0.2721655269759087,81,83,nafnet,nbse2_Cu_doped.png,1
0.9879518072289156,1.0,0.2705008904002297,83,83,nafnet,nbse2_Cu_doped.png,2
1.0,1.0,0.21821789023599236,64,64,nafnet,nbse2_Cu_doped.png,4
1.0,1.0,0.3415650255319866,62,61,nafnet,nbse2_Cu_doped.png,8
1.0,1.0,0.19867985355975656,78,77,nafnet,nbse2_Cu_doped.png,12
0.9885057471264368,1.0,0.24253562503633297,86,87,nafnet,nbse2_Cu_doped.png,16
1.0,1.0,0.23570226039551584,54,54,nafnet,nbse2_Cu_doped.png,20
1.0,1.0,0.19245008972987526,28,28,nafnet,nbse2_Cu_doped.png,28
1.0,1.0,0.1643989873053573,37,39,nafnet,nbse2_Cu_doped.png,36
0.916030534351145,1.0,0.5547001962252291,119,131,nafnet,nbte2_Vacancy-Anion-12A.png,1
0.9124087591240876,1.0,0.5061603966209111,122,137,nafnet,nbte2_Vacancy-Anion-12A.png,2
0.9296875,1.0,0.40471360670018974,119,128,nafnet,nbte2_Vacancy-Anion-12A.png,4
0.9147286821705426,1.0,0.5823490660957642,116,129,nafnet,nbte2_Vacancy-Anion-12A.png,8
0.9411764705882353,1.0,0.5026246899500346,101,102,nafnet,nbte2_Vacancy-Anion-12A.png,12
0.9344262295081968,1.0,0.5065936913756358,113,122,nafnet,nbte2_Vacancy-Anion-12A.png,16
0.9478260869565217,1.0,0.5827715174143585,109,115,nafnet,nbte2_Vacancy-Anion-12A.png,20
0.9038461538461539,1.0,0.41256849850351734,52,52,nafnet,nbte2_Vacancy-Anion-12A.png,28
0.925531914893617,1.0,0.4941518456017623,91,94,nafnet,nbte2_Vacancy-Anion-12A.png,36
0.8846153846153846,0.96,0.4472135954999579,25,26,nafnet,tis2_Vacancy-Anion-12A.png,1
0.8823529411764706,0.9375,0.3922322702763681,16,17,nafnet,tis2_Vacancy-Anion-12A.png,2
0.7647058823529411,0.9230769230769231,0.4714045207910317,13,17,nafnet,tis2_Vacancy-Anion-12A.png,4
0.9,1.0,0.6546536707079771,7,10,nafnet,tis2_Vacancy-Anion-12A.png,8
0.8,0.9473684210526315,0.4472135954999579,19,20,nafnet,tis2_Vacancy-Anion-12A.png,12
0.16666666666666666,1.0,,1,6,nafnet,tis2_Vacancy-Anion-12A.png,16
0.8333333333333334,0.9375,0.4629100498862757,16,18,nafnet,tis2_Vacancy-Anion-12A.png,20
0.8095238095238095,0.9333333333333333,0.5773502691896257,15,21,nafnet,tis2_Vacancy-Anion-12A.png,28
0.9166666666666666,1.0,0.31622776601683794,10,12,nafnet,tis2_Vacancy-Anion-12A.png,36
0.975609756097561,1.0,0.46499055497527714,45,41,nafnet,tise2_Adatom-Li.png,1
0.984375,1.0,0.3621429841700741,65,64,nafnet,tise2_Adatom-Li.png,2
0.9791666666666666,1.0,0.39440531887330776,46,48,nafnet,tise2_Adatom-Li.png,4
0.9787234042553191,1.0,0.4472135954999579,47,47,nafnet,tise2_Adatom-Li.png,8
0.9375,1.0,0.30499714066520933,47,48,nafnet,tise2_Adatom-Li.png,12
,,,0,1,nafnet,tise2_Adatom-Li.png,16
0.75,1.0,0.0,6,8,nafnet,tise2_Adatom-Li.png,20
,,,0,1,nafnet,tise2_Adatom-Li.png,28
0.9107142857142857,1.0,0.4,54,56,nafnet,tise2_Adatom-Li.png,36
0.9827586206896551,1.0,0.3746343246326776,57,58,nafnet,tite2-B_Cu_doped.png,1
0.9791666666666666,1.0,0.14744195615489714,47,48,nafnet,tite2-B_Cu_doped.png,2
0.9811320754716981,1.0,0.19611613513818404,54,53,nafnet,tite2-B_Cu_doped.png,4
0.975,1.0,0.16012815380508713,40,40,nafnet,tite2-B_Cu_doped.png,8
1.0,1.0,0.3086066999241838,42,42,nafnet,tite2-B_Cu_doped.png,12
0.9824561403508771,1.0,0.3535533905932738,56,57,nafnet,tite2-B_Cu_doped.png,16
0.0,0.0,,3,1,nafnet,tite2-B_Cu_doped.png,20
0.9565217391304348,1.0,0.21320071635561044,44,46,nafnet,tite2-B_Cu_doped.png,28
1.0,1.0,0.3227486121839514,49,48,nafnet,tite2-B_Cu_doped.png,36
0.9285714285714286,1.0,0.5222329678670935,16,14,nafnet,vs2_Vacancy-Anion-06A.png,1
0.9333333333333333,1.0,0.3333333333333333,10,15,nafnet,vs2_Vacancy-Anion-06A.png,2
0.9411764705882353,1.0,0.5976143046671968,15,17,nafnet,vs2_Vacancy-Anion-06A.png,4
0.8125,1.0,0.5773502691896257,10,16,nafnet,vs2_Vacancy-Anion-06A.png,8
0.8333333333333334,1.0,0.6666666666666666,12,12,nafnet,vs2_Vacancy-Anion-06A.png,12
0.4,1.0,0.5773502691896257,5,10,nafnet,vs2_Vacancy-Anion-06A.png,16
0.625,1.0,0.0,9,8,nafnet,vs2_Vacancy-Anion-06A.png,20
0.75,1.0,0.0,5,4,nafnet,vs2_Vacancy-Anion-06A.png,28
0.8571428571428571,1.0,0.0,12,14,nafnet,vs2_Vacancy-Anion-06A.png,36
0.9813084112149533,1.0,0.3413280743931446,103,107,nafnet,vte2_Defect-Free.png,1
0.9906542056074766,1.0,0.37977726265637496,104,107,nafnet,vte2_Defect-Free.png,2
0.9826086956521739,1.0,0.41005071993639275,113,115,nafnet,vte2_Defect-Free.png,4
0.9896907216494846,1.0,0.39735970711951313,95,97,nafnet,vte2_Defect-Free.png,8
0.9782608695652174,1.0,0.32163376045133846,87,92,nafnet,vte2_Defect-Free.png,12
0.9896907216494846,1.0,0.3679900360969936,98,97,nafnet,vte2_Defect-Free.png,16
0.98989898989899,1.0,0.3517262290563295,97,99,nafnet,vte2_Defect-Free.png,20
0.9876543209876543,1.0,0.35578403348241006,80,81,nafnet,vte2_Defect-Free.png,28
0.9885057471264368,1.0,0.4176345347922784,86,87,nafnet,vte2_Defect-Free.png,36
0.9137931034482759,0.9818181818181818,0.27472112789737807,55,58,nafnet,ws2-A_Vacancy-Metal.png,1
0.9166666666666666,1.0,0.48617243480439776,55,60,nafnet,ws2-A_Vacancy-Metal.png,2
0.9056603773584906,0.9795918367346939,0.25,49,53,nafnet,ws2-A_Vacancy-Metal.png,4
0.9245283018867925,0.9607843137254902,0.31943828249996997,51,53,nafnet,ws2-A_Vacancy-Metal.png,8
0.9583333333333334,0.9787234042553191,0.29488391230979427,47,48,nafnet,ws2-A_Vacancy-Metal.png,12
0.96,0.9795918367346939,0.4787135538781691,49,50,nafnet,ws2-A_Vacancy-Metal.png,16
0.9230769230769231,0.9791666666666666,0.5052911526399113,48,52,nafnet,ws2-A_Vacancy-Metal.png,20
0.926829268292683,1.0,0.39735970711951313,39,41,nafnet,ws2-A_Vacancy-Metal.png,28
0.8372093023255814,0.972972972972973,0.3333333333333333,37,43,nafnet,ws2-A_Vacancy-Metal.png,36
0.987012987012987,1.0,0.39735970711951313,76,77,nafnet,cose2_Fe_doped.png,1
0.9649122807017544,0.9824561403508771,0.5877538136452587,57,57,nafnet,cose2_Fe_doped.png,2
0.9859154929577465,1.0,0.4662524041201569,69,71,nafnet,cose2_Fe_doped.png,4
0.9512195121951219,1.0,0.5883484054145521,78,82,nafnet,cose2_Fe_doped.png,8
0.9701492537313433,1.0,0.4640954808922571,67,67,nafnet,cose2_Fe_doped.png,12
0.9605263157894737,1.0,0.44095855184409843,72,76,nafnet,cose2_Fe_doped.png,16
0.9672131147540983,1.0,0.4354941703556927,60,61,nafnet,cose2_Fe_doped.png,20
0.9545454545454546,1.0,0.672021505032247,62,66,nafnet,cose2_Fe_doped.png,28
0.9672131147540983,1.0,0.41169348479630913,59,61,nafnet,cose2_Fe_doped.png,36
1.0,1.0,0.7071067811865476,3,2,nafnet,cro2_Vacancy-Anion-03.png,1
0.75,1.0,0.7071067811865476,2,4,nafnet,cro2_Vacancy-Anion-03.png,2
