psnr,ssim,kl,fft_err,frac_damaged,psnr_dmg,mae_dmg,psnr_undmg,mae_undmg,col_precision,col_recall,col_rmse,n_cols_target,n_cols_pred,defect_sites,defect_preserved_frac,vacancy_preserved_frac,anom_preserved_frac,vacuum_phantom_frac,seg_precision,seg_recall,psnr_missed_dmg,frac_edited,regime,structure,family,op,level
27.933543193518027,0.9080048083880798,0.0025434602911829094,0.15546484973328806,0.04643585004028627,15.645247972950987,0.0777369445110461,34.432481460486066,0.012180690784660811,0.9859154929577465,0.9722222222222222,0.3964124835860459,72,71,0,,,,,0.199603043334436,0.5773794335289615,11.96318449793219,0.13432212427129248,permissive,hfo2_Int-Anion.png,hfo2,A,1
33.86827395007135,0.9003838948932371,0.006020114311782142,0.07198301890430066,0.02418639053254438,21.388149015994642,0.046449467514665756,36.18902863386183,0.01192099112159441,0.9944444444444445,0.9944444444444445,1.8610983721549994,180,180,3,1.0,1.0,1.0,,0.06784311426393856,0.45369716929349957,18.938470836332755,0.16174518282506448,permissive,irte2_Vacancy-Metal.png,irte2,A,1
30.503302604442787,0.7961145971281632,0.04091033543797129,0.9824218400731486,0.5485121107266436,28.91458421207713,0.02782033988549119,33.843821772859044,0.016093494616700697,1.0,1.0,0.4026936331284146,74,74,9,1.0,1.0,1.0,,0.6439756362201617,0.9884367903103709,25.978206571583257,0.8419100346020761,permissive,mno2_Defect-Free.png,mno2,A,1
30.736865909100256,0.8124885525017371,0.030634739099097464,0.7033863069695935,0.3858618784865757,27.92444548976261,0.025082252351443568,34.42575893787911,0.014908259185277528,1.0,0.9905660377358491,0.5773502691896257,106,105,15,1.0,1.0,1.0,0.0,0.5666662034012944,0.9621420087624771,26.01880898976763,0.6551545171453026,permissive,mns2_Int-Anion.png,mns2,A,1
32.859477753134236,0.854383705964108,0.005278106539994068,0.5819475449870641,0.20660330764767654,28.821805434857183,0.02281119393455468,35.07361872125228,0.013581913172129804,1.0,0.99375,0.5718776312789587,160,159,8,1.0,1.0,1.0,0.0,0.2864053523889589,0.9488238775486522,18.596543016318524,0.6844500280512307,permissive,mnse2-B_Vacancy-Anion-03.png,mnse2,A,1
38.358637864663436,0.9449325618356375,0.0033845305853485415,0.02605842055975374,0.008331342570473006,27.823747401167118,0.031444835871900584,38.75213987721969,0.008474171907325042,1.0,1.0,0.21160368475757949,67,67,3,1.0,,1.0,,0.0,0.0,27.82374731737515,0.0,tight,mnte2_Defect-Free.png,mnte2,A,1
33.2960281277244,0.8125148805816845,0.022975670426026384,0.3179581687686201,0.1745861950889585,29.961392548193206,0.02361536981184418,34.512621444541466,0.014700078332217389,1.0,0.9642857142857143,0.4714045207910317,84,81,3,1.0,1.0,1.0,0.0,0.3765535407631633,0.8388147763927836,26.66652283161619,0.38891011328165903,permissive,mos2-A_Adatom-Li.png,mos2,A,1
30.352306365063328,0.8147462736711967,0.010492845561758602,0.3230492963968886,0.16251659040034866,24.12820287878944,0.029382873880390528,34.54759940652222,0.014646641436349072,0.9473684210526315,0.9863013698630136,1.359125535858341,73,76,3,1.0,1.0,,0.0,0.32341784374310306,0.8165529010238908,18.27875826710724,0.4103156208700869,permissive,mos2-A_Vacancy-Metal.png,mos2,A,1
33.612129807784314,0.8745898489529771,0.00814449985442739,0.1266955582577278,0.08766136637539282,27.10244311115347,0.03078497484414991,35.377822269203186,0.012988603953861927,1.0,0.9834710743801653,0.5724780279075999,121,119,29,1.0,1.0,1.0,0.0,0.269317093198303,0.6395930837233489,23.995095285020174,0.20818434870807181,permissive,mos2-B_Adatom-K.png,mos2,A,1
28.86130232143057,0.8576155372846469,0.015647401931252754,0.37630324055973785,0.27793621985999484,26.50136746441859,0.0319605526821839,30.275035036613467,0.016889511809374202,0.9629629629629629,1.0,0.6679474875720741,130,135,28,1.0,1.0,1.0,0.0,0.45053521408563424,0.9233126947679187,18.09727913372929,0.5695937456373028,permissive,mos2-B_Anti-Anion.png,mos2,A,1
