family,level,psnr_med,ssim_med,kl_med,psnr_q25,ssim_q25,kl_q25,psnr_q75,ssim_q75,kl_q75,n
mos2,2,28.8905,0.8076,0.0153,27.0982,0.7868,0.0085,31.3564,0.8363,0.0217,108
mos2,4,26.5744,0.7975,0.0185,24.2942,0.7754,0.0116,29.7249,0.8243,0.0303,108
mos2,8,24.6883,0.7834,0.0275,23.2296,0.762,0.0174,26.4744,0.8233,0.0443,108
mos2,12,22.612,0.7599,0.0419,20.9238,0.7392,0.0267,24.6284,0.7986,0.0706,108
mos2,16,21.6024,0.7536,0.0503,20.3152,0.7288,0.0334,25.0503,0.799,0.0922,108
mos2,20,20.3205,0.7397,0.0674,19.2466,0.7095,0.0411,23.03,0.7878,0.1108,108
mos2,28,18.7588,0.6961,0.1153,17.5628,0.6719,0.085,20.6193,0.7448,0.1755,108
mos2,36,18.1529,0.6888,0.1337,16.9761,0.646,0.1039,21.0203,0.7365,0.2189,108
mose2,1,31.7206,0.8809,0.0066,29.9808,0.8079,0.0039,33.4446,0.9008,0.0109,108
mose2,2,30.0591,0.878,0.0078,28.0981,0.8032,0.005,31.7144,0.8972,0.0115,108
mose2,4,27.64,0.8675,0.0103,25.4541,0.7941,0.0068,29.6222,0.8903,0.0176,108
mose2,8,24.2219,0.8257,0.0177,23.1123,0.7791,0.0112,26.1041,0.8724,0.0313,108
mose2,12,22.1622,0.8059,0.0265,20.9511,0.7622,0.0154,24.6581,0.8586,0.0566,108
mose2,16,21.1643,0.7914,0.04,20.0674,0.7467,0.0262,23.2591,0.8389,0.0787,108
mose2,20,20.0532,0.7689,0.065,18.7048,0.7183,0.0361,21.8383,0.8224,0.1033,108
mose2,28,18.6281,0.736,0.0979,17.4797,0.6869,0.0659,20.2175,0.7909,0.1389,108
mose2,36,18.3298,0.7312,0.1232,16.7775,0.6592,0.0859,19.8069,0.7728,0.1706,108
mote2,1,32.6834,0.9182,0.0048,31.096,0.8632,0.0029,35.5558,0.9408,0.0076,108
mote2,2,31.4595,0.9093,0.006,29.6183,0.8588,0.0037,32.7068,0.9386,0.0101,108
mote2,4,28.4419,0.9032,0.0078,26.5595,0.8537,0.0046,30.9969,0.9295,0.0138,108
mote2,8,25.0864,0.8671,0.0156,22.6561,0.833,0.0098,27.7295,0.9117,0.0429,108
mote2,12,23.4107,0.8537,0.0261,20.9745,0.8141,0.0168,25.1862,0.8875,0.0841,108
mote2,16,21.8903,0.8372,0.0416,19.4829,0.7961,0.0243,23.7554,0.8733,0.1019,108
mote2,20,20.786,0.8172,0.0606,18.358,0.771,0.034,22.5721,0.8551,0.1381,108
mote2,28,19.3367,0.7718,0.0892,16.8453,0.722,0.0624,20.5022,0.8166,0.2101,108
mote2,36,18.8387,0.767,0.1209,16.4809,0.7068,0.0891,21.4644,0.8218,0.2286,108
nbo2,1,32.3736,0.8358,0.0188,30.8437,0.83,0.0097,32.7662,0.8562,0.0242,9
nbo2,2,29.045,0.8324,0.0219,27.7786,0.8279,0.0122,31.5353,0.8569,0.023,9
nbo2,4,27.3322,0.8276,0.0255,25.0709,0.8149,0.0231,27.7839,0.8381,0.0287,9
nbo2,8,24.5718,0.8218,0.029,23.853,0.8026,0.0208,27.6652,0.8403,0.0343,9
nbo2,12,21.6904,0.7788,0.0563,19.4144,0.731,0.0323,23.3598,0.7936,0.1123,9
nbo2,16,21.9794,0.7859,0.053,21.4044,0.7744,0.0477,23.6399,0.8056,0.0614,9
nbo2,20,21.9203,0.7925,0.0588,20.2377,0.7721,0.0534,27.1858,0.8034,0.087,9
nbo2,28,19.1744,0.7327,0.1017,18.6998,0.7155,0.0881,21.1845,0.7594,0.1324,9
nbo2,36,17.892,0.6836,0.1815,16.9511,0.6624,0.1515,18.1724,0.718,0.3058,9
nbs2,1,31.5931,0.8287,0.014,30.6078,0.8037,0.0083,33.3266,0.8654,0.023,51
nbs2,2,29.2213,0.8241,0.0194,27.548,0.7976,0.0108,31.4401,0.8563,0.0239,51
nbs2,4,27.1029,0.8199,0.0222,24.6495,0.7886,0.0161,29.1199,0.8467,0.0301,51
nbs2,8,24.8046,0.8076,0.0249,23.0038,0.7749,0.0161,28.5197,0.8362,0.0375,51
nbs2,12,22.7122,0.7752,0.0385,21.306,0.7538,0.0249,25.4265,0.8207,0.0644,51
nbs2,16,22.413,0.7711,0.0509,20.1652,0.7379,0.0276,24.6758,0.8123,0.096,51
nbs2,20,21.2671,0.7527,0.0806,19.6487,0.7248,0.0417,23.5307,0.787,0.1355,51
nbs2,28,19.7808,0.7251,0.1024,17.8244,0.6889,0.0661,23.4104,0.775,0.142,51
nbs2,36,18.7828,0.6967,0.1627,16.876,0.6566,0.0962,21.3836,0.7393,0.1906,51
nbse2,1,32.7314,0.9031,0.0049,31.6481,0.8904,0.0032,34.6674,0.9119,0.0076,51
nbse2,2,32.3955,0.901,0.0056,30.4569,0.8886,0.0038,33.5882,0.911,0.0073,51
nbse2,4,28.1929,0.8885,0.0086,26.8266,0.879,0.0058,29.4232,0.9012,0.0215,51
nbse2,8,25.0447,0.8764,0.0109,24.1986,0.8567,0.0082,26.6242,0.8879,0.0252,51
nbse2,12,23.9036,0.8563,0.0181,22.4056,0.8434,0.0148,25.5093,0.87,0.0411,51
nbse2,16,22.2753,0.8316,0.0394,21.0871,0.8182,0.0217,23.6823,0.8597,0.06,51
nbse2,20,21.16,0.8225,0.0457,20.199,0.8055,0.0292,22.5318,0.8401,0.1028,51
nbse2,28,19.6834,0.7806,0.0917,18.4539,0.7693,0.0611,21.2741,0.8,0.1514,51
nbse2,36,18.5551,0.7696,0.1144,17.6626,0.7321,0.0661,20.4683,0.7857,0.15,51
nbte2,1,31.7513,0.8735,0.0071,30.0321,0.8523,0.005,34.7724,0.8945,0.0112,51
nbte2,2,29.9808,0.8708,0.0077,28.4066,0.846,0.0053,31.8859,0.8927,0.011,51
nbte2,4,27.2297,0.8615,0.0087,25.4111,0.8385,0.0053,31.8181,0.8845,0.013,51
nbte2,8,24.1287,0.8411,0.0186,22.3481,0.8117,0.0137,26.4938,0.8664,0.0362,51
nbte2,12,22.5416,0.8292,0.0406,20.2013,0.7949,0.0209,25.1165,0.848,0.0723,51
nbte2,16,21.3127,0.8131,0.0342,19.0939,0.7868,0.0256,23.4227,0.8349,0.0765,51
nbte2,20,20.4211,0.7987,0.0526,18.304,0.7743,0.0341,22.9021,0.8275,0.092,51
nbte2,28,18.6196,0.7552,0.0909,16.2423,0.7175,0.0606,19.8307,0.7907,0.1482,51
nbte2,36,19.0,0.7383,0.0975,16.5794,0.7163,0.0763,20.6667,0.7953,0.1441,51
pbse2,1,34.9339,0.9052,0.0047,33.54,0.8975,0.0033,36.7932,0.9355,0.0055,12
pbse2,2,33.9574,0.9074,0.0032,31.0762,0.8944,0.0029,36.3176,0.931,0.0081,12
pbse2,4,31.4034,0.9003,0.0093,26.616,0.8739,0.0063,33.5562,0.9235,0.0147,12
pbse2,8,29.6467,0.9047,0.0102,26.0451,0.8562,0.0062,36.0032,0.9103,0.0328,12
pbse2,12,24.8504,0.8559,0.047,22.9433,0.8321,0.0226,28.3209,0.8926,0.0614,12
pbse2,16,23.7454,0.8334,0.0737,19.6197,0.7681,0.042,28.5406,0.885,0.1321,12
pbse2,20,23.2461,0.831,0.0885,20.3427,0.7877,0.0474,28.0316,0.8608,0.112,12
pbse2,28,24.0121,0.836,0.0569,20.4754,0.7924,0.0116,33.9085,0.8935,0.1048,12
pbse2,36,19.7618,0.7645,0.1392,17.3233,0.6742,0.0807,24.7225,0.8154,0.294,12
pbte2,1,34.0007,0.8998,0.006,30.9998,0.8921,0.0057,34.3286,0.9007,0.0068,9
pbte2,2,30.0091,0.8922,0.0053,27.7553,0.8884,0.0023,35.4558,0.9007,0.0147,9
pbte2,4,26.9713,0.8844,0.0106,26.406,0.8728,0.0074,27.8494,0.9005,0.0205,9
pbte2,8,24.9014,0.869,0.0227,22.2683,0.8403,0.0168,27.5333,0.8885,0.0656,9
pbte2,12,22.9512,0.8503,0.0835,22.8252,0.8285,0.038,26.1258,0.8921,0.092,9
pbte2,16,21.4036,0.8291,0.0389,18.938,0.7865,0.0335,26.5727,0.8749,0.0793,9
pbte2,20,21.812,0.8211,0.0437,21.1154,0.8129,0.0176,24.872,0.8738,0.0582,9
pbte2,28,19.185,0.7861,0.1076,17.8987,0.7267,0.0746,21.7102,0.8238,0.1682,9
pbte2,36,18.7353,0.7759,0.0908,17.8481,0.7434,0.063,19.8298,0.7868,0.145,9
rete2,1,35.8587,0.9501,0.0033,34.6117,0.9436,0.0018,36.7605,0.9511,0.0046,9
rete2,2,32.5969,0.9379,0.0037,28.8644,0.9366,0.0024,33.8552,0.9469,0.0072,9
rete2,4,30.7499,0.9314,0.0073,28.1528,0.9248,0.0037,31.9281,0.9467,0.0116,9
rete2,8,27.2674,0.9231,0.009,25.8398,0.9057,0.0067,33.3523,0.9357,0.1,9
rete2,12,23.7774,0.892,0.0396,20.2242,0.8479,0.0308,24.1383,0.9063,0.1186,9
rete2,16,23.7714,0.881,0.0544,22.1829,0.8641,0.0329,25.4354,0.912,0.1002,9
rete2,20,21.3589,0.8601,0.0511,19.2399,0.8117,0.0263,23.2204,0.8738,0.1347,9
rete2,28,20.1329,0.8294,0.0807,18.9746,0.8068,0.0471,22.0485,0.8405,0.1166,9
rete2,36,20.296,0.7956,0.1036,17.9695,0.7755,0.0814,20.8644,0.8304,0.202,9
rus2,1,32.7145,0.8354,0.0126,31.0245,0.7859,0.0048,34.8071,0.8939,0.0209,24
rus2,2,29.9728,0.8328,0.0111,27.589,0.7831,0.0044,33.1257,0.89,0.0176,24
rus2,4,27.4074,0.8263,0.0167,25.2029,0.7796,0.0104,30.6885,0.8834,0.0281,24
rus2,8,26.2868,0.817,0.021,23.8948,0.767,0.0123,30.6174,0.8685,0.0319,24
rus2,12,23.2091,0.7714,0.0296,21.104,0.7346,0.0208,26.3066,0.8354,0.0834,24
rus2,16,22.3017,0.7785,0.0425,21.2635,0.7362,0.0263,28.0746,0.8145,0.0776,24
rus2,20,21.3368,0.768,0.049,20.0011,0.718,0.0307,29.8934,0.8357,0.1481,24
rus2,28,19.6073,0.7296,0.1038,18.6329,0.6676,0.0584,22.722,0.7622,0.2564,24
rus2,36,18.6866,0.6906,0.1631,17.4825,0.6356,0.1196,21.1805,0.7423,0.2686,24
sno2,1,33.0571,0.86,0.0074,27.7902,0.8515,0.005,35.5305,0.8907,0.0123,21
sno2,2,27.7123,0.8535,0.0094,27.4732,0.8439,0.0079,29.3082,0.8836,0.0129,21
sno2,4,25.605,0.8416,0.0233,24.2452,0.8323,0.0104,27.475,0.8691,0.0386,21
sno2,8,24.7563,0.8297,0.0186,23.7155,0.8211,0.013,26.8353,0.8723,0.0506,21
sno2,12,23.162,0.8153,0.0369,21.791,0.8048,0.023,23.8618,0.8438,0.0554,21
sno2,16,21.3343,0.7979,0.0473,20.4845,0.7816,0.0237,24.399,0.8487,0.061,21
sno2,20,20.7493,0.8,0.0714,19.6925,0.7687,0.041,23.3775,0.816,0.1114,21
sno2,28,18.9289,0.7495,0.1097,18.1857,0.7259,0.0892,20.838,0.7726,0.1623,21
sno2,36,17.8301,0.7144,0.1468,17.1474,0.6979,0.116,19.6626,0.7525,0.205,21
sns2,1,34.0624,0.8581,0.0126,30.393,0.8505,0.0092,34.5935,0.8611,0.0166,27
sns2,2,31.394,0.8517,0.0146,29.8184,0.8466,0.0118,32.8335,0.8616,0.0164,27
sns2,4,27.6551,0.8396,0.0177,25.5187,0.8265,0.0113,31.8669,0.8591,0.0235,27
sns2,8,27.1907,0.8436,0.0192,25.0541,0.8186,0.0142,31.3172,0.8601,0.0352,27
sns2,12,24.2639,0.819,0.0312,22.5863,0.7847,0.0184,25.5975,0.8589,0.076,27
sns2,16,22.4278,0.7954,0.0521,20.174,0.7388,0.028,24.6519,0.8259,0.16,27
sns2,20,22.2907,0.7911,0.0575,20.9207,0.7299,0.0326,23.8608,0.8271,0.1675,27
sns2,28,22.6107,0.7885,0.0748,20.0204,0.7396,0.0161,30.902,0.8493,0.1265,27
sns2,36,18.9484,0.7183,0.1591,18.2684,0.6515,0.1122,21.3455,0.7574,0.3381,27
snse2,1,32.8035,0.9105,0.0052,31.9083,0.8978,0.0033,34.667,0.921,0.0066,27
snse2,2,31.385,0.908,0.0064,30.551,0.8938,0.0046,33.8694,0.9192,0.0092,27
snse2,4,28.2832,0.8922,0.0097,26.9223,0.8832,0.0067,30.4405,0.9139,0.0172,27
snse2,8,24.9901,0.8795,0.0156,24.4379,0.8613,0.0098,26.9738,0.8993,0.0312,27
snse2,12,23.7922,0.8664,0.0161,22.9024,0.856,0.013,25.6865,0.8876,0.0207,27
