structure,family,op,level,psnr,ssim,kl,split
vse2-A_V_adatom.png,vse2,B,4,24.359976347860783,0.819412598411997,0.3127416718659769,train
vse2-A_Vacancy-Anion-03.png,vse2,B,4,36.57028773280479,0.9115243482154931,0.004716701052759247,train
vse2-A_Vacancy-Anion-06A.png,vse2,B,4,36.62189993038232,0.9131502394192353,0.005323357857698345,val
vse2-A_Vacancy-Anion-06B.png,vse2,B,4,31.737836565498718,0.9019833961108423,0.0035114549523724385,val
vse2-A_Vacancy-Anion-09A.png,vse2,B,4,29.234654721165356,0.8471375922237591,0.10461808418981891,train
vse2-A_Vacancy-Anion-09B.png,vse2,B,4,30.880385578054227,0.8894360009630028,0.015168289716691846,train
vse2-A_Vacancy-Anion-12A.png,vse2,B,4,29.43826326474462,0.9150116833485366,0.009984695821672532,train
vse2-A_Vacancy-Anion-12B.png,vse2,B,4,25.48249456993906,0.876344329357724,0.01564781705270607,train
vse2-A_Vacancy-Metal.png,vse2,B,4,29.00992090839611,0.9094522377403252,0.015817810350913085,train
vse2-B_Adatom-Li.png,vse2,B,4,22.463219109523752,0.7162905530515157,0.05256195104401888,train
vse2-B_Adatom-Na.png,vse2,B,4,30.59824301620836,0.8302987575714995,0.007617551563532084,train
vse2-B_Anti-2M.png,vse2,B,4,24.952995456834163,0.7104284043138567,0.034951095472669405,val
vse2-B_Anti-Anion.png,vse2,B,4,24.061774597183728,0.7368415423710328,0.029479015248078475,train
vse2-B_Anti-Metal.png,vse2,B,4,25.345249793351435,0.7020064507228,0.01759310432858978,train
vse2-B_Defect-Free.png,vse2,B,4,27.79474382351424,0.7731665121232832,0.0031901959861062885,train
vse2-B_Int-Anion.png,vse2,B,4,30.049694440576715,0.7478878819808857,0.009991031767739194,train
vse2-B_Int-Metal.png,vse2,B,4,27.141553691181883,0.785643136061832,0.015351232078683805,train
vse2-B_Mo_adatom.png,vse2,B,4,31.23083526012257,0.8353283465086725,0.011025264449658737,train
vse2-B_Nb_adatom.png,vse2,B,4,26.76935389926724,0.8332926151256776,0.013064422657401493,train
vse2-B_V_adatom.png,vse2,B,4,30.595239181845216,0.7405707705436377,0.023630936983814375,train
vse2-B_Vacancy-Anion-03.png,vse2,B,4,30.136542772747752,0.7591872045177855,0.017315390942206004,train
vse2-B_Vacancy-Anion-06A.png,vse2,B,4,26.669450746851776,0.7719070115624956,0.017791884823273065,test
vse2-B_Vacancy-Anion-06B.png,vse2,B,4,30.30786041147984,0.7558164465499505,0.012066607366231389,train
vse2-B_Vacancy-Anion-09A.png,vse2,B,4,23.80150840350649,0.7026208644822843,0.01364793587445762,train
vse2-B_Vacancy-Anion-09B.png,vse2,B,4,22.77097730034683,0.6806096892280998,0.13285458557847193,val
vse2-B_Vacancy-Anion-12A.png,vse2,B,4,24.865683920623745,0.7155293911809298,0.032080674512809215,train
vse2-B_Vacancy-Anion-12B.png,vse2,B,4,28.70677510312593,0.7957377028468563,0.016102301559315198,train
vse2-B_Vacancy-Metal.png,vse2,B,4,21.16145698757416,0.6695666923155742,0.14460568838411245,train
vte2_Adatom-Li.png,vte2,B,4,29.919294838718237,0.853899235094243,0.008851875525376545,train
vte2_Adatom-Na.png,vte2,B,4,26.439912707452326,0.8492956536196794,0.010548509144824277,train
vte2_Anti-Anion.png,vte2,B,4,28.352361381611114,0.8669044469955532,0.013626402928381305,test
vte2_Anti-Metal.png,vte2,B,4,25.95226960025176,0.8134474826266851,0.011593234086824715,train
vte2_Defect-Free.png,vte2,B,4,29.09190579186582,0.8640673883015543,0.025846387115521074,val
vte2_Mo_adatom.png,vte2,B,4,32.46251043968655,0.8438231581993951,0.009782191312006644,train
vte2_Nb_adatom.png,vte2,B,4,31.082456479865602,0.8773579471554976,0.006717991000605926,train
vte2_V_adatom.png,vte2,B,4,25.896062580692572,0.8377477219279305,0.007856809569054235,test
vte2_Vacancy-Anion-03.png,vte2,B,4,32.505587311658616,0.833922560824149,0.007506117414245254,train
vte2_Vacancy-Anion-06A.png,vte2,B,4,33.451598860440434,0.8622668856621989,0.008523323238282199,train
vte2_Vacancy-Anion-06B.png,vte2,B,4,28.934687761186545,0.8705662232998471,0.009049384921653867,train
vte2_Vacancy-Anion-09A.png,vte2,B,4,22.658825139503524,0.8313720510902055,0.018800526462803696,train
vte2_Vacancy-Anion-09B.png,vte2,B,4,24.534648546151697,0.8407578370960527,0.016534865840452443,val
vte2_Vacancy-Anion-12A.png,vte2,B,4,26.180230329698073,0.8506698226117513,0.007477183493270461,train
vte2_Vacancy-Anion-12B.png,vte2,B,4,32.417791115838945,0.8624870882667335,0.01365286596753092,train
vte2_Vacancy-Metal.png,vte2,B,4,30.86934425062202,0.884086887776839,0.007125378730492444,train
ws2-A_Anti-Anion.png,ws2,B,4,33.60582664580639,0.8879719892765308,0.00818716401250188,train
ws2-A_Anti-Metal.png,ws2,B,4,25.928357825936573,0.8916802488829194,0.03675465864950559,train
ws2-A_Cr_doped.png,ws2,B,4,20.273723240808913,0.774240097891494,0.22152763149807578,train
ws2-A_Defect-Free.png,ws2,B,4,30.7375927508911,0.953888422315964,0.011200683961368963,train
ws2-A_Doped-O.png,ws2,B,4,25.547465105091774,0.8927436422483461,0.007955634926709082,train
ws2-A_Mo_doped.png,ws2,B,4,34.647017626258624,0.9664153917864823,0.0036844347996247287,train
ws2-A_Re_doped.png,ws2,B,4,31.83512394059032,0.9663261550936727,0.008753585125526153,train
ws2-A_Vacancy-Anion-03.png,ws2,B,4,28.087956850538017,0.8808781521493129,0.010989391232232611,train
ws2-A_Vacancy-Anion-06A.png,ws2,B,4,25.562377289230092,0.8787685348972001,0.005336404913968796,test
ws2-A_Vacancy-Anion-06B.png,ws2,B,4,28.042588548770713,0.8950842210007465,0.00835089358680452,test
ws2-A_Vacancy-Metal.png,ws2,B,4,35.530670282622424,0.9164000133551727,0.006561113171614304,val
ws2-B_Anti-Anion.png,ws2,B,4,27.50224029212118,0.8906285944011839,0.006743329369676027,train
ws2-B_Anti-Metal.png,ws2,B,4,28.566942745821397,0.9102042110138879,0.006456975392573703,train
ws2-B_Cr_doped.png,ws2,B,4,35.60577864172381,0.9662699947219309,0.004453527089062674,train
ws2-B_Defect-Free.png,ws2,B,4,25.478879008271527,0.8767293239516651,0.05079050730044173,train
ws2-B_Doped-O.png,ws2,B,4,27.665940398575724,0.8874370089994106,0.00649256275594313,train
ws2-B_Mo_doped.png,ws2,B,4,21.371126479285778,0.8481375179515459,0.06485533793714271,train
ws2-B_Re_doped.png,ws2,B,4,25.968018786198463,0.8940668900174258,0.012689389132531287,train
ws2-B_Vacancy-Anion-03.png,ws2,B,4,23.949567248407405,0.8884505439859189,0.00917340967184707,train
ws2-B_Vacancy-Anion-06A.png,ws2,B,4,20.82179090161588,0.8327981661647168,0.06162732384390088,train
ws2-B_Vacancy-Anion-06B.png,ws2,B,4,34.80490354546209,0.9034826476482543,0.04879147977332408,train
ws2-B_Vacancy-Metal.png,ws2,B,4,25.333613227606342,0.8995598048241759,0.006403092825350681,val
ws2-C_Anti-Anion.png,ws2-C,B,4,36.456890604769214,0.9142093033792974,0.003042333698784647,train
ws2-C_Anti-Metal.png,ws2-C,B,4,24.049108785377573,0.8730526451351468,0.010874919045832812,train
ws2-C_Cr_doped.png,ws2-C,B,4,23.003015282875793,0.7737697710808434,1.387647026488338,train
ws2-C_Defect-Free.png,ws2-C,B,4,33.05689059807124,0.95280181829144,0.004441119548744116,val
ws2-C_Mo_doped.png,ws2-C,B,4,21.533265917731228,0.8425016595702528,0.19568540745669544,train
ws2-C_O_doped.png,ws2-C,B,4,23.63101196344564,0.8127804074025087,0.5870266000837815,train
ws2-C_Re_doped.png,ws2-C,B,4,23.728963970632655,0.8797485925652341,0.014597216707094246,train
ws2-C_V48_V38.png,ws2-C,B,4,27.964414063962828,0.9320653005689915,0.00795653484520766,train
ws2-C_V48_V44.png,ws2-C,B,4,36.620980642045,0.9174780232674432,0.014237844288785847,train
ws2-C_Vacancy-Anion.png,ws2-C,B,4,29.11187938793326,0.9224545777422071,0.035053516451362496,train
ws2-C_Vacancy-Metal.png,ws2-C,B,4,23.68280474552014,0.8822387791811244,0.01086185643318019,test
wse2_Anti-Anion.png,wse2,B,4,18.499100201940294,0.7363271873092602,0.5179839509753927,train
wse2_Anti-Metal.png,wse2,B,4,39.16867197452086,0.9371604265270154,0.0027124679139256544,train
wse2_Cr_doped.png,wse2,B,4,35.62546061662726,0.889489002331786,0.003914296681687201,train
wse2_Defect-Free.png,wse2,B,4,28.45298859230094,0.8766558262017091,0.005513898004733422,train
