structure,op,level,family,h,w,mean,std,min,max,frac_sat
tite2-B_Vacancy-Anion-09B.png,B,20,tite2,747,647,19.297311782836914,24.579978942871094,0.0,255.0,4.138139368395788e-06
tite2-B_Vacancy-Anion-12A.png,B,20,tite2,747,647,32.99081039428711,40.33964920043945,0.0,255.0,2.069069684197894e-06
tite2-B_Vacancy-Anion-12B.png,B,20,tite2,747,647,23.32166862487793,30.31804656982422,0.0,255.0,2.069069684197894e-06
tite2-B_Vacancy-Metal.png,B,20,tite2,747,647,41.28445816040039,45.81665802001953,0.0,255.0,2.069069684197894e-06
tite2-B_Zr_doped.png,B,20,tite2,747,647,42.64796829223633,45.84053421020508,0.0,255.0,2.069069684197894e-06
vo2_Defect-Free.png,B,20,vo2,550,476,78.20088195800781,51.49763107299805,0.0,255.0,3.819709702062643e-06
vo2_Vacancy-Anion-03.png,B,20,vo2,550,476,66.39972686767578,53.60771560668945,0.0,255.0,7.639419404125286e-06
vo2_Vacancy-Metal.png,B,20,vo2,550,476,69.4072494506836,46.780517578125,0.0,255.0,3.819709702062643e-06
vs2_Adatom-Li.png,B,20,vs2,639,553,81.70227813720703,37.46548080444336,0.0,255.0,2.8299190360163797e-06
vs2_Adatom-Na.png,B,20,vs2,639,553,46.427001953125,31.715042114257812,0.0,255.0,2.8299190360163797e-06
vs2_Anti-2M.png,B,20,vs2,639,553,56.78868865966797,37.30852508544922,0.0,255.0,2.8299190360163797e-06
vs2_Anti-Anion.png,B,20,vs2,639,553,82.69544982910156,44.29718017578125,0.0,255.0,2.8299190360163797e-06
vs2_Anti-Metal.png,B,20,vs2,639,553,59.1241569519043,32.27024459838867,0.0,255.0,5.6598380720327595e-06
vs2_Defect-Free.png,B,20,vs2,639,553,82.31208801269531,45.48944091796875,0.0,255.0,5.6598380720327595e-06
vs2_Mo_adatom.png,B,20,vs2,639,553,18.408842086791992,16.454130172729492,0.0,255.0,2.8299190360163797e-06
vs2_Nb_adatom.png,B,20,vs2,639,553,21.858064651489258,18.640947341918945,0.0,255.0,2.8299190360163797e-06
vs2_V_adatom.png,B,20,vs2,639,553,32.73311233520508,21.257347106933594,0.0,255.0,2.8299190360163797e-06
vs2_Vacancy-Anion-03.png,B,20,vs2,639,553,55.73175048828125,39.61617660522461,0.0,255.0,5.6598380720327595e-06
vs2_Vacancy-Anion-06A.png,B,20,vs2,639,553,48.85053634643555,33.24689865112305,0.0,255.0,2.8299190360163797e-06
vs2_Vacancy-Anion-06B.png,B,20,vs2,639,553,60.61465835571289,32.435523986816406,0.0,255.0,2.8299190360163797e-06
vs2_Vacancy-Anion-09A.png,B,20,vs2,639,553,47.648921966552734,37.718017578125,0.0,255.0,5.6598380720327595e-06
vs2_Vacancy-Anion-09B.png,B,20,vs2,639,553,75.74962615966797,44.358821868896484,0.0,255.0,2.8299190360163797e-06
vs2_Vacancy-Anion-12A.png,B,20,vs2,639,553,85.02162170410156,44.223915100097656,0.0,255.0,5.6598380720327595e-06
vs2_Vacancy-Anion-12B.png,B,20,vs2,639,553,67.2691879272461,44.72276306152344,0.0,255.0,2.8299190360163797e-06
vs2_Vacancy-Metal.png,B,20,vs2,639,553,79.85588073730469,42.1512565612793,0.0,255.0,8.48975710804914e-06
vse2-A_Adatom-Li.png,B,20,vse2,669,579,55.87627410888672,45.97297286987305,0.0,255.0,2.5816378426801533e-06
vse2-A_Adatom-Na.png,B,20,vse2,669,579,48.50917053222656,45.397010803222656,0.0,255.0,2.5816378426801533e-06
vse2-A_Anti-2M.png,B,20,vse2,669,579,46.56808853149414,45.62730407714844,0.0,255.0,2.5816378426801533e-06
vse2-A_Anti-Anion.png,B,20,vse2,669,579,44.44099426269531,44.200218200683594,0.0,255.0,2.5816378426801533e-06
vse2-A_Anti-Metal.png,B,20,vse2,669,579,54.40702438354492,45.675682067871094,0.0,255.0,5.163275685360307e-06
vse2-A_Defect-Free.png,B,20,vse2,669,579,51.44988250732422,45.14445114135742,0.0,255.0,2.5816378426801533e-06
vse2-A_Mo_adatom.png,B,20,vse2,669,579,56.69264221191406,45.951881408691406,0.0,255.0,2.5816378426801533e-06
vse2-A_Nb_adatom.png,B,20,vse2,669,579,50.05371856689453,45.84622573852539,0.0,255.0,5.163275685360307e-06
vse2-A_V_adatom.png,B,20,vse2,669,579,51.53962326049805,45.94247817993164,0.0,255.0,5.163275685360307e-06
vse2-A_Vacancy-Anion-03.png,B,20,vse2,669,579,38.64176940917969,42.17654037475586,0.0,255.0,2.5816378426801533e-06
vse2-A_Vacancy-Anion-06A.png,B,20,vse2,669,579,40.51026153564453,43.351158142089844,0.0,255.0,2.5816378426801533e-06
vse2-A_Vacancy-Anion-06B.png,B,20,vse2,669,579,43.790279388427734,39.71303939819336,0.0,255.0,2.5816378426801533e-06
vse2-A_Vacancy-Anion-09A.png,B,20,vse2,669,579,56.22997283935547,43.34537887573242,0.0,255.0,2.5816378426801533e-06
vse2-A_Vacancy-Anion-09B.png,B,20,vse2,669,579,34.35774230957031,37.31325912475586,0.0,255.0,5.163275685360307e-06
vse2-A_Vacancy-Anion-12A.png,B,20,vse2,669,579,31.74510955810547,34.61814880371094,0.0,255.0,5.163275685360307e-06
vse2-A_Vacancy-Anion-12B.png,B,20,vse2,669,579,31.586811065673828,36.13434600830078,0.0,255.0,2.5816378426801533e-06
vse2-A_Vacancy-Metal.png,B,20,vse2,669,579,40.65626525878906,43.29924392700195,0.0,255.0,1.548982705608092e-05
vse2-B_Adatom-Li.png,B,20,vse2,670,580,89.75637817382812,46.19412612915039,0.0,255.0,2.573340195573855e-06
